"country","year","yrborn","yrdied","age","sftgcode","ccode","start","end","ongoing","type","ever"
"Afghanistan",1945,1919,9999,26,"AFG",700,0,0,0,0,0
"Afghanistan",1946,1919,9999,27,"AFG",700,0,0,0,0,0
"Afghanistan",1947,1919,9999,28,"AFG",700,0,0,0,0,0
"Afghanistan",1948,1919,9999,29,"AFG",700,0,0,0,0,0
"Afghanistan",1949,1919,9999,30,"AFG",700,0,0,0,0,0
"Afghanistan",1950,1919,9999,31,"AFG",700,0,0,0,0,0
"Afghanistan",1951,1919,9999,32,"AFG",700,0,0,0,0,0
"Afghanistan",1952,1919,9999,33,"AFG",700,0,0,0,0,0
"Afghanistan",1953,1919,9999,34,"AFG",700,0,0,0,0,0
"Afghanistan",1954,1919,9999,35,"AFG",700,0,0,0,0,0
"Afghanistan",1955,1919,9999,36,"AFG",700,0,0,0,0,0
"Afghanistan",1956,1919,9999,37,"AFG",700,0,0,0,0,0
"Afghanistan",1957,1919,9999,38,"AFG",700,0,0,0,0,0
"Afghanistan",1958,1919,9999,39,"AFG",700,0,0,0,0,0
"Afghanistan",1959,1919,9999,40,"AFG",700,0,0,0,0,0
"Afghanistan",1960,1919,9999,41,"AFG",700,0,0,0,0,0
"Afghanistan",1961,1919,9999,42,"AFG",700,0,0,0,0,0
"Afghanistan",1962,1919,9999,43,"AFG",700,0,0,0,0,0
"Afghanistan",1963,1919,9999,44,"AFG",700,0,0,0,0,0
"Afghanistan",1964,1919,9999,45,"AFG",700,0,0,0,0,0
"Afghanistan",1965,1919,9999,46,"AFG",700,0,0,0,0,0
"Afghanistan",1966,1919,9999,47,"AFG",700,0,0,0,0,0
"Afghanistan",1967,1919,9999,48,"AFG",700,0,0,0,0,0
"Afghanistan",1968,1919,9999,49,"AFG",700,0,0,0,0,0
"Afghanistan",1969,1919,9999,50,"AFG",700,0,0,0,0,0
"Afghanistan",1970,1919,9999,51,"AFG",700,0,0,0,0,0
"Afghanistan",1971,1919,9999,52,"AFG",700,0,0,0,0,0
"Afghanistan",1972,1919,9999,53,"AFG",700,0,0,0,0,0
"Afghanistan",1973,1919,9999,54,"AFG",700,0,0,0,0,0
"Afghanistan",1974,1919,9999,55,"AFG",700,0,0,0,0,0
"Afghanistan",1975,1919,9999,56,"AFG",700,0,0,0,0,0
"Afghanistan",1976,1919,9999,57,"AFG",700,0,0,0,0,0
"Afghanistan",1977,1919,9999,58,"AFG",700,0,0,0,0,0
"Afghanistan",1978,1919,9999,59,"AFG",700,1,0,1,1,1
"Afghanistan",1979,1919,9999,60,"AFG",700,0,0,1,0,1
"Afghanistan",1980,1919,9999,61,"AFG",700,0,0,1,0,1
"Afghanistan",1981,1919,9999,62,"AFG",700,0,0,1,0,1
"Afghanistan",1982,1919,9999,63,"AFG",700,0,0,1,0,1
"Afghanistan",1983,1919,9999,64,"AFG",700,0,0,1,0,1
"Afghanistan",1984,1919,9999,65,"AFG",700,0,0,1,0,1
"Afghanistan",1985,1919,9999,66,"AFG",700,0,0,1,0,1
"Afghanistan",1986,1919,9999,67,"AFG",700,0,0,1,0,1
"Afghanistan",1987,1919,9999,68,"AFG",700,0,0,1,0,1
"Afghanistan",1988,1919,9999,69,"AFG",700,0,0,1,0,1
"Afghanistan",1989,1919,9999,70,"AFG",700,0,0,1,0,1
"Afghanistan",1990,1919,9999,71,"AFG",700,0,0,1,0,1
"Afghanistan",1991,1919,9999,72,"AFG",700,0,0,1,0,1
"Afghanistan",1992,1919,9999,73,"AFG",700,1,1,1,1,1
"Afghanistan",1993,1919,9999,74,"AFG",700,0,0,1,0,1
"Afghanistan",1994,1919,9999,75,"AFG",700,0,0,1,0,1
"Afghanistan",1995,1919,9999,76,"AFG",700,0,0,1,0,1
"Afghanistan",1996,1919,9999,77,"AFG",700,1,1,1,1,1
"Afghanistan",1997,1919,9999,78,"AFG",700,0,0,1,0,1
"Afghanistan",1998,1919,9999,79,"AFG",700,0,0,1,0,1
"Afghanistan",1999,1919,9999,80,"AFG",700,0,0,1,0,1
"Afghanistan",2000,1919,9999,81,"AFG",700,0,0,1,0,1
"Afghanistan",2001,1919,9999,82,"AFG",700,0,1,1,0,1
"Afghanistan",2002,1919,9999,83,"AFG",700,0,0,0,0,1
"Afghanistan",2003,1919,9999,84,"AFG",700,0,0,0,0,1
"Afghanistan",2004,1919,9999,85,"AFG",700,0,0,0,0,1
"Afghanistan",2005,1919,9999,86,"AFG",700,0,0,0,0,1
"Afghanistan",2006,1919,9999,87,"AFG",700,0,0,0,0,1
"Afghanistan",2007,1919,9999,88,"AFG",700,0,0,0,0,1
"Afghanistan",2008,1919,9999,89,"AFG",700,0,0,0,0,1
"Afghanistan",2009,1919,9999,90,"AFG",700,0,0,0,0,1
"Afghanistan",2010,1919,9999,91,"AFG",700,0,0,0,0,1
